value,column_name,cleaned_text,tokenized_text,POS tagged,Lemma
The restaurant had a great selection of beverages to complement our meal.,Positive,restaurant great selection beverages complement meal,"['restaurant', 'great', 'selection', 'beverages', 'complement', 'meal']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('beverages', 'n'), ('complement', 'v'), ('meal', 'n')]",  restaurant great selection beverage complement meal
"The delivery driver followed all necessary safety protocols, which was greatly appreciated.",Positive,delivery driver followed necessary safety protocols greatly appreciated,"['delivery', 'driver', 'followed', 'necessary', 'safety', 'protocols', 'greatly', 'appreciated']","[('delivery', 'n'), ('driver', 'n'), ('followed', 'v'), ('necessary', 'a'), ('safety', 'n'), ('protocols', 'n'), ('greatly', 'r'), ('appreciated', 'v')]",  delivery driver follow necessary safety protocol greatly appreciate
The food was packaged in a way that kept it warm and fresh during delivery.,Positive,food packaged way kept warm fresh delivery,"['food', 'packaged', 'way', 'kept', 'warm', 'fresh', 'delivery']","[('food', 'n'), ('packaged', 'v'), ('way', 'n'), ('kept', 'v'), ('warm', 'a'), ('fresh', 'a'), ('delivery', 'n')]",  food package way keep warm fresh delivery
The restaurant had a great system for customizing orders to our specific preferences.,Positive,restaurant great system customizing orders specific preferences,"['restaurant', 'great', 'system', 'customizing', 'orders', 'specific', 'preferences']","[('restaurant', 'n'), ('great', 'a'), ('system', 'n'), ('customizing', 'v'), ('orders', 'n'), ('specific', 'a'), ('preferences', 'n')]",  restaurant great system customize order specific preference
"The ordering process was intuitive and easy to follow, even for first-time users.",Positive,ordering process intuitive easy follow even first time users,"['ordering', 'process', 'intuitive', 'easy', 'follow', 'even', 'first', 'time', 'users']","[('ordering', 'v'), ('process', 'n'), ('intuitive', 'a'), ('easy', 'a'), ('follow', 'v'), ('even', 'r'), ('first', 'a'), ('time', 'n'), ('users', 'n')]",  order process intuitive easy follow even first time user
"The food was prepared quickly and delivered promptly, which was a huge plus.",Positive,food prepared quickly delivered promptly huge plus,"['food', 'prepared', 'quickly', 'delivered', 'promptly', 'huge', 'plus']","[('food', 'n'), ('prepared', 'v'), ('quickly', 'r'), ('delivered', 'v'), ('promptly', 'r'), ('huge', 'a'), ('plus', None)]",  food prepare quickly deliver promptly huge plus
"The restaurant had great reviews and ratings online, which gave us confidence in our choice.",Positive,restaurant great reviews ratings online gave us confidence choice,"['restaurant', 'great', 'reviews', 'ratings', 'online', 'gave', 'us', 'confidence', 'choice']","[('restaurant', 'n'), ('great', 'a'), ('reviews', 'n'), ('ratings', 'n'), ('online', 'v'), ('gave', 'v'), ('us', None), ('confidence', 'n'), ('choice', 'n')]",  restaurant great review rating online give us confidence choice
"The food was hot and fresh, and the flavors were well-balanced.",Positive,food hot fresh flavors well balanced,"['food', 'hot', 'fresh', 'flavors', 'well', 'balanced']","[('food', 'n'), ('hot', 'a'), ('fresh', 'a'), ('flavors', 'n'), ('well', 'r'), ('balanced', 'v')]",  food hot fresh flavor well balance
The restaurant had a great selection of healthy options for those watching their diet.,Positive,restaurant great selection healthy options watching diet,"['restaurant', 'great', 'selection', 'healthy', 'options', 'watching', 'diet']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('healthy', 'a'), ('options', 'n'), ('watching', 'v'), ('diet', 'a')]",  restaurant great selection healthy option watch diet
"The delivery driver was polite and professional, and he made sure to confirm our order before leaving.",Positive,delivery driver polite professional made sure confirm order leaving,"['delivery', 'driver', 'polite', 'professional', 'made', 'sure', 'confirm', 'order', 'leaving']","[('delivery', 'n'), ('driver', 'n'), ('polite', 'a'), ('professional', 'n'), ('made', 'v'), ('sure', 'a'), ('confirm', 'a'), ('order', 'n'), ('leaving', 'v')]",  delivery driver polite professional make sure confirm order leave
"The food was well-packaged and arrived in great condition, even after a long delivery distance.",Positive,food well packaged arrived great condition even long delivery distance,"['food', 'well', 'packaged', 'arrived', 'great', 'condition', 'even', 'long', 'delivery', 'distance']","[('food', 'n'), ('well', 'r'), ('packaged', 'v'), ('arrived', 'v'), ('great', 'a'), ('condition', 'n'), ('even', 'r'), ('long', 'r'), ('delivery', 'n'), ('distance', 'n')]",  food well package arrive great condition even long delivery distance
"The food was delivered earlier than expected, which was a pleasant surprise.",Positive,food delivered earlier expected pleasant surprise,"['food', 'delivered', 'earlier', 'expected', 'pleasant', 'surprise']","[('food', 'n'), ('delivered', 'v'), ('earlier', 'r'), ('expected', 'v'), ('pleasant', 'a'), ('surprise', 'n')]",  food deliver earlier expect pleasant surprise
The restaurant had a great mobile app that made ordering even more convenient.,Positive,restaurant great mobile app made ordering even convenient,"['restaurant', 'great', 'mobile', 'app', 'made', 'ordering', 'even', 'convenient']","[('restaurant', 'n'), ('great', 'a'), ('mobile', 'a'), ('app', 'n'), ('made', 'v'), ('ordering', 'v'), ('even', 'r'), ('convenient', 'n')]",  restaurant great mobile app make order even convenient
"The food was made with fresh ingredients, and the quality was evident in every bite.",Positive,food made fresh ingredients quality evident every bite,"['food', 'made', 'fresh', 'ingredients', 'quality', 'evident', 'every', 'bite']","[('food', 'n'), ('made', 'v'), ('fresh', 'a'), ('ingredients', 'n'), ('quality', 'n'), ('evident', 'a'), ('every', None), ('bite', 'n')]",  food make fresh ingredient quality evident every bite
The restaurant had great specials and promotions that made our meal even more affordable.,Positive,restaurant great specials promotions made meal even affordable,"['restaurant', 'great', 'specials', 'promotions', 'made', 'meal', 'even', 'affordable']","[('restaurant', 'n'), ('great', 'a'), ('specials', 'n'), ('promotions', 'n'), ('made', 'v'), ('meal', 'a'), ('even', 'r'), ('affordable', 'a')]",  restaurant great special promotion make meal even affordable
"The online ordering process allowed us to save our favorite dishes for future orders, which was a nice feature.",Positive,online ordering process allowed us save favorite dishes future orders nice feature,"['online', 'ordering', 'process', 'allowed', 'us', 'save', 'favorite', 'dishes', 'future', 'orders', 'nice', 'feature']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('allowed', 'v'), ('us', None), ('save', 'v'), ('favorite', 'a'), ('dishes', 'n'), ('future', 'a'), ('orders', 'n'), ('nice', 'a'), ('feature', 'n')]",  online order process allow us save favorite dish future order nice feature
The food was well-seasoned and had just the right amount of spice.,Positive,food well seasoned right amount spice,"['food', 'well', 'seasoned', 'right', 'amount', 'spice']","[('food', 'n'), ('well', 'r'), ('seasoned', 'v'), ('right', 'a'), ('amount', 'n'), ('spice', 'n')]",  food well season right amount spice
"The restaurant had a great system for tracking our order in real-time, which gave us peace of mind.",Positive,restaurant great system tracking order real time gave us peace mind,"['restaurant', 'great', 'system', 'tracking', 'order', 'real', 'time', 'gave', 'us', 'peace', 'mind']","[('restaurant', 'n'), ('great', 'a'), ('system', 'n'), ('tracking', 'v'), ('order', 'n'), ('real', 'a'), ('time', 'n'), ('gave', 'v'), ('us', None), ('peace', 'n'), ('mind', 'n')]",  restaurant great system track order real time give us peace mind
"The delivery driver was friendly and accommodating, and he made sure our order was complete before leaving.",Positive,delivery driver friendly accommodating made sure order complete leaving,"['delivery', 'driver', 'friendly', 'accommodating', 'made', 'sure', 'order', 'complete', 'leaving']","[('delivery', 'n'), ('driver', 'n'), ('friendly', 'r'), ('accommodating', 'v'), ('made', 'v'), ('sure', 'a'), ('order', 'n'), ('complete', 'a'), ('leaving', 'v')]",  delivery driver friendly accommodate make sure order complete leave
"The food was a great value for the price, and we felt like we got our money's worth.",Positive,food great value price felt like got money worth,"['food', 'great', 'value', 'price', 'felt', 'like', 'got', 'money', 'worth']","[('food', 'n'), ('great', 'a'), ('value', 'n'), ('price', 'n'), ('felt', 'v'), ('like', None), ('got', 'v'), ('money', 'n'), ('worth', 'n')]",  food great value price felt like get money worth
The restaurant had great customer reviews that helped us make our decision to order.,Positive,restaurant great customer reviews helped us make decision order,"['restaurant', 'great', 'customer', 'reviews', 'helped', 'us', 'make', 'decision', 'order']","[('restaurant', 'n'), ('great', 'a'), ('customer', 'n'), ('reviews', 'n'), ('helped', 'v'), ('us', None), ('make', 'v'), ('decision', 'n'), ('order', 'n')]",  restaurant great customer review help us make decision order
"The food was delivered with all the necessary utensils and napkins, which was a nice touch.",Positive,food delivered necessary utensils napkins nice touch,"['food', 'delivered', 'necessary', 'utensils', 'napkins', 'nice', 'touch']","[('food', 'n'), ('delivered', 'v'), ('necessary', 'a'), ('utensils', 'n'), ('napkins', 'n'), ('nice', 'a'), ('touch', 'n')]",  food deliver necessary utensil napkin nice touch
The restaurant had a great rewards program that incentivized us to order again in the future.,Positive,restaurant great rewards program incentivized us order future,"['restaurant', 'great', 'rewards', 'program', 'incentivized', 'us', 'order', 'future']","[('restaurant', 'n'), ('great', 'a'), ('rewards', 'n'), ('program', 'n'), ('incentivized', 'v'), ('us', None), ('order', 'n'), ('future', 'n')]",  restaurant great reward program incentivized us order future
"The food was delivered with care and attention to detail, which we appreciated.",Positive,food delivered care attention detail appreciated,"['food', 'delivered', 'care', 'attention', 'detail', 'appreciated']","[('food', 'n'), ('delivered', 'v'), ('care', 'n'), ('attention', 'n'), ('detail', 'n'), ('appreciated', 'v')]",  food deliver care attention detail appreciate
"The restaurant had a great selection of vegetarian and vegan options, which catered to our dietary restrictions.",Positive,restaurant great selection vegetarian vegan options catered dietary restrictions,"['restaurant', 'great', 'selection', 'vegetarian', 'vegan', 'options', 'catered', 'dietary', 'restrictions']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('vegetarian', 'a'), ('vegan', 'n'), ('options', 'n'), ('catered', 'v'), ('dietary', 'a'), ('restrictions', 'n')]",  restaurant great selection vegetarian vegan option cater dietary restriction
"The online ordering process was secure and easy to use, which made us feel confident in our purchase.",Positive,online ordering process secure easy use made us feel confident purchase,"['online', 'ordering', 'process', 'secure', 'easy', 'use', 'made', 'us', 'feel', 'confident', 'purchase']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('secure', 'n'), ('easy', 'a'), ('use', 'n'), ('made', 'v'), ('us', None), ('feel', 'v'), ('confident', 'a'), ('purchase', 'n')]",  online order process secure easy use make us feel confident purchase
"The food was cooked to perfection, and we enjoyed every bite.",Positive,food cooked perfection enjoyed every bite,"['food', 'cooked', 'perfection', 'enjoyed', 'every', 'bite']","[('food', 'n'), ('cooked', 'v'), ('perfection', 'n'), ('enjoyed', 'v'), ('every', None), ('bite', 'n')]",  food cook perfection enjoy every bite
The restaurant had a great selection of international cuisine that we had never tried before.,Positive,restaurant great selection international cuisine never tried,"['restaurant', 'great', 'selection', 'international', 'cuisine', 'never', 'tried']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('international', 'a'), ('cuisine', 'n'), ('never', 'r'), ('tried', 'v')]",  restaurant great selection international cuisine never try
"The food was delivered with a smile, which made our day even better.",Positive,food delivered smile made day even better,"['food', 'delivered', 'smile', 'made', 'day', 'even', 'better']","[('food', 'n'), ('delivered', 'v'), ('smile', 'n'), ('made', 'v'), ('day', 'n'), ('even', 'r'), ('better', 'r')]",  food deliver smile make day even well
"The restaurant had a great reputation for quality food and service, which they lived up to.",Positive,restaurant great reputation quality food service lived,"['restaurant', 'great', 'reputation', 'quality', 'food', 'service', 'lived']","[('restaurant', 'n'), ('great', 'a'), ('reputation', 'n'), ('quality', 'n'), ('food', 'n'), ('service', 'n'), ('lived', 'v')]",  restaurant great reputation quality food service live
"The online ordering process allowed us to add special instructions for our order, which was very helpful.",Positive,online ordering process allowed us add special instructions order helpful,"['online', 'ordering', 'process', 'allowed', 'us', 'add', 'special', 'instructions', 'order', 'helpful']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('allowed', 'v'), ('us', None), ('add', 'v'), ('special', 'a'), ('instructions', 'n'), ('order', 'n'), ('helpful', 'n')]",  online order process allow us add special instruction order helpful
"The food was perfectly portioned, and we didn't feel like we were overeating.",Positive,food perfectly portioned feel like overeating,"['food', 'perfectly', 'portioned', 'feel', 'like', 'overeating']","[('food', 'n'), ('perfectly', 'r'), ('portioned', 'v'), ('feel', 'n'), ('like', None), ('overeating', 'v')]",  food perfectly portion feel like overeat
The restaurant had great reviews on social media that helped us make our decision to order.,Positive,restaurant great reviews social media helped us make decision order,"['restaurant', 'great', 'reviews', 'social', 'media', 'helped', 'us', 'make', 'decision', 'order']","[('restaurant', 'n'), ('great', 'a'), ('reviews', 'v'), ('social', 'a'), ('media', 'n'), ('helped', 'v'), ('us', None), ('make', 'v'), ('decision', 'n'), ('order', 'n')]",  restaurant great review social medium help us make decision order
"The food was prepared with care and attention to detail, which made all the difference.",Positive,food prepared care attention detail made difference,"['food', 'prepared', 'care', 'attention', 'detail', 'made', 'difference']","[('food', 'n'), ('prepared', 'v'), ('care', 'n'), ('attention', 'n'), ('detail', 'n'), ('made', 'v'), ('difference', 'n')]",  food prepare care attention detail make difference
"The restaurant had a great selection of drinks to choose from, which complemented our meal perfectly.",Positive,restaurant great selection drinks choose complemented meal perfectly,"['restaurant', 'great', 'selection', 'drinks', 'choose', 'complemented', 'meal', 'perfectly']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('drinks', 'n'), ('choose', 'v'), ('complemented', 'v'), ('meal', 'n'), ('perfectly', 'r')]",  restaurant great selection drink choose complement meal perfectly
The online ordering process was user-friendly and allowed us to save our payment information for future orders.,Positive,online ordering process user friendly allowed us save payment information future orders,"['online', 'ordering', 'process', 'user', 'friendly', 'allowed', 'us', 'save', 'payment', 'information', 'future', 'orders']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('user', 'n'), ('friendly', 'r'), ('allowed', 'v'), ('us', None), ('save', 'v'), ('payment', 'n'), ('information', 'n'), ('future', 'n'), ('orders', 'n')]",  online order process user friendly allow us save payment information future order
"The food was delivered quickly and efficiently, which was much appreciated.",Positive,food delivered quickly efficiently much appreciated,"['food', 'delivered', 'quickly', 'efficiently', 'much', 'appreciated']","[('food', 'n'), ('delivered', 'v'), ('quickly', 'r'), ('efficiently', 'r'), ('much', 'r'), ('appreciated', 'v')]",  food deliver quickly efficiently much appreciate
The restaurant had a great system for handling special requests and dietary restrictions.,Positive,restaurant great system handling special requests dietary restrictions,"['restaurant', 'great', 'system', 'handling', 'special', 'requests', 'dietary', 'restrictions']","[('restaurant', 'n'), ('great', 'a'), ('system', 'n'), ('handling', 'v'), ('special', 'a'), ('requests', 'n'), ('dietary', 'a'), ('restrictions', 'n')]",  restaurant great system handle special request dietary restriction
"The food was perfectly cooked, and the presentation was beautiful.",Positive,food perfectly cooked presentation beautiful,"['food', 'perfectly', 'cooked', 'presentation', 'beautiful']","[('food', 'n'), ('perfectly', 'r'), ('cooked', 'v'), ('presentation', 'n'), ('beautiful', 'n')]",  food perfectly cook presentation beautiful
The restaurant had a great selection of appetizers that we couldn't resist trying.,Positive,restaurant great selection appetizers resist trying,"['restaurant', 'great', 'selection', 'appetizers', 'resist', 'trying']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('appetizers', 'n'), ('resist', 'v'), ('trying', 'v')]",  restaurant great selection appetizer resist try
"The food was delivered with a personalized note from the chef, which was a lovely touch.",Positive,food delivered personalized note chef lovely touch,"['food', 'delivered', 'personalized', 'note', 'chef', 'lovely', 'touch']","[('food', 'n'), ('delivered', 'v'), ('personalized', 'a'), ('note', 'n'), ('chef', 'n'), ('lovely', 'r'), ('touch', 'a')]",  food deliver personalized note chef lovely touch
"The restaurant had a great atmosphere, and we couldn't wait to visit in person.",Positive,restaurant great atmosphere wait visit person,"['restaurant', 'great', 'atmosphere', 'wait', 'visit', 'person']","[('restaurant', 'n'), ('great', 'a'), ('atmosphere', 'a'), ('wait', 'n'), ('visit', 'n'), ('person', 'n')]",  restaurant great atmosphere wait visit person
"The online ordering process allowed us to browse the menu at our own pace, which was very convenient.",Positive,online ordering process allowed us browse menu pace convenient,"['online', 'ordering', 'process', 'allowed', 'us', 'browse', 'menu', 'pace', 'convenient']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('allowed', 'v'), ('us', None), ('browse', 'v'), ('menu', 'a'), ('pace', 'n'), ('convenient', 'n')]",  online order process allow us browse menu pace convenient
"The food was delivered hot and fresh, just as if we were dining in at the restaurant.",Positive,food delivered hot fresh dining restaurant,"['food', 'delivered', 'hot', 'fresh', 'dining', 'restaurant']","[('food', 'n'), ('delivered', 'v'), ('hot', 'a'), ('fresh', 'a'), ('dining', 'n'), ('restaurant', 'n')]",  food deliver hot fresh dining restaurant
The restaurant had a great selection of desserts that we couldn't resist ordering.,Positive,restaurant great selection desserts resist ordering,"['restaurant', 'great', 'selection', 'desserts', 'resist', 'ordering']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('desserts', 'n'), ('resist', 'v'), ('ordering', 'v')]",  restaurant great selection dessert resist order
